파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%)
"고궁,궁_화성행궁_759.jpg",A photo of a peaceful temple courtyard in Asia.,50.58,a photo of a pagoda with intricate roof designs,16.85,A photo of a modern ticket booth with digital screens.,9.34
공원_동탄호수공원_629.jpg,An image of a peaceful lake with lily pads.,44.15,A photo of a serene lake surrounded by trees.,16.9,A photo of a vast lake under a clear sky.,13.75
공원_동탄호수공원_630.jpg,An image of sculptures displayed in a museum's outdoor area.,48.62,A photo of visitors exploring an open-air museum exhibit.,17.0,An image of a Ferris wheel at an amusement park.,13.98
공원_동탄호수공원_631.jpg,An image of boats docked along a bustling urban canal.,42.52,A photo of a skyscraper standing tall amidst other buildings.,12.64,An image of bridges spanning a serene urban canal.,10.25
공원_동호수어린이공원_133.jpg,an image of a well-maintained cultivated field with clear pathways,34.37,a photo of a vast cultivated field stretching to the horizon,23.78,an image of rows of crops in a cultivated field,11.14
공원_동호수어린이공원_134.jpg,An image of a peaceful fishpond surrounded by greenery.,63.56,a photo of a peaceful zen garden with lush greenery,9.72,a photo of a serene zen garden with raked sand,6.89
공원_동호수어린이공원_135.jpg,An image of a spacious lobby with modern furnishings.,37.32,A photo of a modern entrance hall with sleek glass doors.,29.89,An image of a lobby with a grand chandelier overhead.,8.05
공원_왕송호수공원_662.jpg,an image of a park pathway lined with flowers,37.58,A photo of a boardwalk leading through lush greenery.,29.99,a photo of a park with lush green trees,21.07
공원_은계호수공원_646.jpg,An image of a bridge illuminated at night.,93.86,A photo of a bridge spanning a wide river.,3.07,An image of a bridge shrouded in morning mist.,1.33
공원_인천대공원 수목원길_1092.jpg,"An image of a dense forest, broadleaf trees towering overhead.",40.8,an image of exotic plants in a botanical garden setting,15.65,An image of a serene forest scene with thick broadleaf canopy.,14.51
공원_인천대공원 수목원길_1093.jpg,an image of lush greenery in a botanical garden,27.89,an image of exotic plants in a botanical garden setting,20.71,An image of a serene forest scene with thick broadleaf canopy.,12.2
공원_인천대공원 수목원길_1094.jpg,An image of a serene forest scene with thick broadleaf canopy.,38.11,a photo of tall bamboo stems in a serene setting,23.83,a photo of vibrant green bamboo stalks in the wild,20.41
국수_국수골목 계양점_1361.jpg,An image of a butcher's shop displaying various meats.,38.73,An image of a butcher’s shop showcasing fresh cuts.,35.56,a photo of a delicatessen with assorted cured meats,7.44
국수_국수골목 계양점_1362.jpg,a photo of a restaurant kitchen’s organized spice rack,41.21,a photo of fresh ingredients on a restaurant kitchen prep table,13.43,a photo of a delicatessen counter filled with sandwich ingredients,11.72
국수_국수골목 계양점_1363.jpg,an image of a delicatessen featuring gourmet cheeses,62.15,an image of a delicatessen offering artisanal breads and pastries,13.79,a photo of a delicatessen display with fresh salads,8.72
국수_국수골목 연수점_1379.jpg,A photo of a chef preparing dishes in a restaurant.,31.64,an image of a busy restaurant kitchen with sizzling pans,16.44,an image of a modern restaurant kitchen with stainless steel counters,11.51
국수_국수골목 연수점_1380.jpg,An image of a cozy café shopfront with inviting outdoor seating.,56.55,A photo of a quaint bakery shopfront with colorful signage.,10.64,A photo of an elegant boutique shopfront with stylish mannequins.,8.76
국수_국수골목 연수점_1381.jpg,an image of a delicatessen featuring gourmet cheeses,43.9,a photo of a delicatessen with assorted cured meats,25.2,a photo of a delicatessen display with fresh salads,18.23
냉면_개롱골목냉면_393.jpg,A photo of a chef preparing dishes in a restaurant.,75.6,an image of a busy restaurant kitchen with sizzling pans,8.41,an image of a delicatessen featuring gourmet cheeses,3.3
냉면_골목냉면 혜화점_405.jpg,an image of a delicatessen featuring gourmet cheeses,54.71,a photo of a delicatessen with assorted cured meats,23.9,a photo of a delicatessen counter filled with sandwich ingredients,15.69
냉면_골목냉면 혜화점_406.jpg,an image of a delicatessen featuring gourmet cheeses,42.54,an image of a delicatessen offering artisanal breads and pastries,29.91,a photo of a delicatessen with assorted cured meats,18.53
냉면_골목냉면 혜화점_407.jpg,an image of a delicatessen featuring gourmet cheeses,40.43,a photo of a delicatessen with assorted cured meats,35.82,a photo of a delicatessen display with fresh salads,10.8
냉면_골목냉면_380.jpg,A photo of a bright drugstore with various skincare items.,33.27,An image of a kindergarten classroom filled with playful decorations.,18.59,An image of colorful drugstore shelves filled with products.,16.4
냉면_깡통골목 원조비빔당면_1821.jpg,An image of shoppers exploring an indoor flea market.,58.79,a photo of a bustling cafeteria with patrons dining,19.4,an image of people dining in a modern food court,7.41
냉면_깡통골목 원조비빔당면_1822.jpg,An image of shoppers exploring an indoor flea market.,66.33,A photo of an indoor market bustling with shoppers.,23.39,An image of a bustling indoor flea market display.,3.88
냉면_수택골목냉면_906.jpg,an image of a delicatessen featuring gourmet cheeses,46.38,a photo of a delicatessen with assorted cured meats,33.73,an image of a delicatessen offering artisanal breads and pastries,14.25
냉면_수택골목냉면_907.jpg,a photo of a fast food menu board display,44.07,a photo of a busy fast food restaurant interior,24.67,a photo of diverse cuisines in a busy food court,11.15
도보여행_서서울호수공원 산책길_142.jpg,an image of lush greenery in a botanical garden,31.11,A photo of a tree farm with diverse evergreen varieties.,19.62,An image of a serene forest scene with thick broadleaf canopy.,10.65
도보여행_서서울호수공원 산책길_143.jpg,an image of a marsh with vibrant green reeds,39.36,a photo of a marsh habitat alive with wildlife,19.78,An image of a peaceful lake with lily pads.,14.8
도시근린공원_광교호수공원_626.jpg,a photo of an empty amphitheater with tiered stone seating,43.12,an image of an amphitheater with a central stage and arches,26.33,A photo of a dam with a tranquil reservoir.,8.81
도시근린공원_광교호수공원_627.jpg,An image of a tranquil lake reflecting the sky.,35.48,A photo of a vast lake under a clear sky.,21.02,An image of a peaceful lake with lily pads.,9.7
도시근린공원_광교호수공원_628.jpg,an image of a calm river bordered by lush greenery,35.21,a photo of a wide river glistening under the sunlight,25.8,an image of a river reflecting the blue sky above,12.3
도시근린공원_금광호수공원_652.jpg,A photo of a vast lake under a clear sky.,37.29,a photo of a picturesque islet with dense greenery,32.04,a photo of a serene islet surrounded by water,12.53
도시근린공원_기흥호수공원_647.jpg,"An image of an empty parking lot, lines clearly visible.",34.72,An image of a parking lot with a few parked vehicles.,33.6,A photo of a busy parking lot with various cars.,29.21
도시근린공원_기흥호수공원_648.jpg,An image of a gazebo exterior surrounded by lush greenery.,29.68,A photo of a rustic gazebo exterior by a tranquil pond.,18.77,A photo of a peaceful pavilion in a garden.,13.75
도시근린공원_기흥호수공원_649.jpg,A photo of a dam under a clear blue sky.,39.1,A photo of a dam with a tranquil reservoir.,35.54,An image of a massive dam structure in the distance.,10.86
도시근린공원_반월호수공원_656.jpg,An image of passengers waiting at an indoor bus station.,94.26,A photo of travelers queuing at an airport terminal check-in desk.,3.89,An image of departure screens in a busy indoor bus station.,0.69
도시근린공원_반월호수공원_657.jpg,A photo of food stalls at an amusement park.,58.12,An image of a roller coaster in an amusement park.,14.64,An image of a Ferris wheel at an amusement park.,8.14
도시근린공원_반월호수공원_658.jpg,An image of a formal garden adorned with elegant fountains.,40.32,an image of topiary garden featuring artfully trimmed shrubs,13.52,a photo of intricate topiary garden with lush greenery,11.57
도시근린공원_상동호수공원_632.jpg,An image of an art studio with colorful paint splatters.,23.67,An image of a kindergarten classroom with children’s drawings on display.,20.8,A photo of a bustling amusement arcade with joyful sounds.,18.94
도시근린공원_상동호수공원_633.jpg,a photo of a wooden arch framing a garden path,81.37,a photo of vibrant flowers in a botanical garden,3.79,an image of exotic plants in a botanical garden setting,3.37
도시근린공원_상동호수공원_634.jpg,An image of a windmill surrounded by lush green fields.,51.25,A photo of a windmill under a clear blue sky.,29.54,An image of a windmill with its blades turning in the breeze.,15.14
도시근린공원_서서울호수공원_127.jpg,An image of a peaceful fishpond surrounded by greenery.,43.9,a photo of a tranquil pond surrounded by trees,14.57,A photo of reflections shimmering on a tranquil fishpond.,8.7
도시근린공원_안산호수공원_638.jpg,an image of a park pathway lined with flowers,41.96,an image of a campus courtyard with students relaxing,39.78,a photo of a park with lush green trees,8.1
도시근린공원_안산호수공원_639.jpg,An image of a kindergarten classroom filled with playful decorations.,39.94,An image of art school instructors demonstrating pottery techniques.,18.11,An image of a colorful dressing room filled with outfits.,10.51
도시근린공원_안산호수공원_640.jpg,an image of musicians performing on a lively outdoor stage,92.34,a photo of an outdoor stage set for a concert,6.48,an image of a colorful outdoor stage with bright lights,0.44
도시근린공원_오남호수공원_653.jpg,An image of a fountain with cascading water jets.,77.27,An image of families enjoying the water park attractions.,5.32,"An image of a fountain, water sparkling in sunlight.",4.24
도시근린공원_오남호수공원_655.jpg,A photo of a rocky mountain path leading to peaks.,40.43,A photo of a winding mountain path under blue skies.,28.84,an image of a towering mountain surrounded by lush forests,7.65
도시근린공원_옥정호수공원_660.jpg,an image of musicians performing on a lively outdoor stage,46.76,an image of a colorful outdoor stage with bright lights,15.79,a photo of an outdoor stage with large speakers and lights,13.36
도시근린공원_옥정호수공원_661.jpg,A photo of a bright drugstore with various skincare items.,40.91,An image of a kindergarten classroom filled with playful decorations.,22.14,A photo of a kindergarten classroom with small desks and chairs.,7.35
도시근린공원_운정호수공원_635.jpg,An image of bridges spanning a serene urban canal.,65.94,An image of a peaceful lake with lily pads.,19.25,A photo of a serene lake surrounded by trees.,5.83
도시근린공원_운정호수공원_637.jpg,A photo of a bridge under a clear blue sky.,54.21,A photo of a bridge spanning a wide river.,28.36,A photo of a bridge with arches over calm water.,6.3
도시근린공원_장자호수공원_641.jpg,A photo of a bright drugstore with various skincare items.,28.35,An image of colorful drugstore shelves filled with products.,21.4,A photo of a meticulously maintained clean room environment.,15.7
도시근린공원_장자호수공원_642.jpg,A photo of a crosswalk in a bustling urban area.,59.0,A photo of a busy crosswalk on a sunny day.,20.16,An image of pedestrians waiting at a city crosswalk.,11.7
도시근린공원_장자호수공원_643.jpg,A photo of skyscrapers towering over downtown traffic.,46.06,An image of downtown with a lively weekend market.,21.13,A photo of a skyscraper standing tall amidst other buildings.,13.51
도시근린공원_청라호수공원_1107.jpg,An image of a windmill surrounded by lush green fields.,41.83,An image of a formal garden featuring colorful flowerbeds.,25.5,An image of a formal garden adorned with elegant fountains.,13.83
도시근린공원_청라호수공원_1108.jpg,A photo of ducks gliding on a peaceful urban canal.,70.6,An image of boats docked along a bustling urban canal.,17.32,An image of families enjoying the water park attractions.,5.4
도시근린공원_청라호수공원_1109.jpg,an image of a quiet promenade with benches and lamps,35.77,An image of a pavilion surrounded by lush greenery.,28.45,A photo of a peaceful pavilion in a garden.,16.68
도시근린공원_해오름호수공원_1110.jpg,a photo of a serene pond with reflections of clouds,43.67,a photo of a serene marsh at sunrise,16.58,a photo of a tranquil marsh reflecting the sky,8.02
도시근린공원_해오름호수공원_1111.jpg,a photo of an ancient castle by a serene lake,36.91,an image of a majestic palace reflecting in a calm lake,19.53,a photo of a serene marsh at sunrise,16.76
도시근린공원_해오름호수공원_1112.jpg,A photo of lush greenery beside the tranquil moat water.,34.2,An image of a serene canal surrounded by lush greenery.,24.51,A photo of a tranquil natural canal at sunset.,10.11
등산정보_관악산 호수공원분기점_144.jpg,An image of a child's room featuring bright wall art.,45.94,An image of a tidy child's room with a small bed.,13.46,A photo of a colorful child's room with toys.,10.4
등산정보_관악산 호수공원분기점_145.jpg,A photo of a dynamic spectacle unfolding in the bustling arena.,30.94,An image of an energetic arena performance with cheering fans.,29.44,A photo of a thrilling live show in a packed arena.,11.31
등산정보_관악산 호수공원분기점_146.jpg,an image of a landing deck with safety markings visible,58.42,A photo of colorful fish gliding in a clear fishpond.,16.19,"a photo of a landing deck, ready for takeoff and landing",13.95
디저트카페_동양염전베이커리카페_1080.jpg,A photo of a quiet loading dock during off-hours.,25.8,A photo of a busy loading dock with trucks.,14.63,An image of workers unloading at a large loading dock.,12.44
디저트카페_동양염전베이커리카페_1081.jpg,An image of interactive displays at a science museum.,92.02,a photo of an indoor booth with vibrant decor,2.04,a photo of an indoor booth in a modern setting,2.04
디저트카페_동양염전베이커리카페_1082.jpg,A photo of a vibrant restaurant patio with potted plants.,28.75,A photo of an empty restaurant patio with elegant decor.,21.76,an image of a sunny patio with potted plants,16.54
디저트카페_마롱브런치&베이커리카페_495.jpg,A photo of a quiet loading dock during off-hours.,48.26,An image of a loading dock at sunrise.,23.09,A photo of a busy loading dock with trucks.,11.73
디저트카페_마롱브런치&베이커리카페_496.jpg,A photo of a hospital exterior with ambulances parked.,35.75,An image of a multi-level outdoor parking garage.,10.6,a photo of an inviting library in a park setting,8.94
디저트카페_바다와풍경_490.jpg,A photo of a hospital sign directing to emergency services.,26.64,a photo of rolling hills on a golf course,26.15,an image of a park with a serene lake,11.2
디저트카페_바다와풍경_491.jpg,a photo of a beach with colorful umbrellas,82.69,a photo of palm trees swaying on a sunny beach,3.97,a photo of the ocean meeting the sandy shore,2.93
디저트카페_보스커피&브런치_12.jpg,a photo of a delicatessen with assorted cured meats,37.64,an image of a delicatessen featuring gourmet cheeses,36.56,a photo of a delicatessen display with fresh salads,15.06
디저트카페_브런치카페 이엘_1507.jpg,An image of a lively restaurant patio with string lights.,49.77,An image of a cozy restaurant patio under string lights.,18.05,A photo of a bustling restaurant patio at dusk.,11.75
디저트카페_브룩스_1543.jpg,A photo of a modern bathroom with sleek fixtures.,33.18,a photo of a modern bathroom shower with glass doors,18.73,An image of a spacious bathroom featuring a glass shower.,16.01
디저트카페_빠르끄 풍동본점_575.jpg,an image of a busy restaurant kitchen with sizzling pans,36.98,a photo of a delicatessen with assorted cured meats,15.35,A photo of a cozy restaurant interior with dim lighting.,12.41
디저트카페_빠르끄 풍동본점_576.jpg,a photo of a delicatessen with assorted cured meats,41.42,an image of a delicatessen featuring gourmet cheeses,37.08,an image of a delicatessen offering artisanal breads and pastries,15.46
디저트카페_빠르끄 풍동본점_577.jpg,a photo of a delicatessen counter filled with sandwich ingredients,70.3,an image of fast food trays on a counter,14.74,a photo of a delicatessen with assorted cured meats,4.47
디저트카페_스타골목커피_1397.jpg,An image of an energetic arena performance with cheering fans.,85.18,A photo of a dynamic spectacle unfolding in the bustling arena.,4.91,an image of musicians setting up on an indoor stage,1.88
디저트카페_스타골목커피_1398.jpg,an image of art gallery featuring classic and contemporary artworks,74.34,an image of art gallery walls lined with colorful canvases,7.15,a photo of art gallery with spotlights on vibrant portraits,5.99
디저트카페_스타골목커피_1399.jpg,a photo of a lush valley surrounded by mountains,53.45,an image of a serene valley at sunrise,23.49,a photo of a valley with vibrant wildflowers in bloom,4.35
디저트카페_어로프슬라이스피스_551.jpg,An image of colorful fruits stacked in a supermarket.,28.29,A photo of a supermarket's fresh produce section.,25.84,An image of neatly arranged shelves in a supermarket.,15.88
디저트카페_어로프슬라이스피스_552.jpg,An image of sushi bar featuring chefs preparing nigiri.,39.97,an image of pins set up at the end of the lane,18.73,a photo of a bowling alley with polished wooden lanes,8.92
디저트카페_어로프슬라이스피스_553.jpg,a photo of a vet clinic with medical equipment,63.15,A photo of a cozy recreation room with a pool table.,6.36,a photo of a modern coffee shop with minimalist decor,5.45
디저트카페_에테르_1476.jpg,A photo of a modern balcony interior with wicker chairs.,22.41,A photo of a beach house with ocean view.,19.05,An image of a sunlit balcony interior with glass railings.,17.65
디저트카페_우즈베이커리_1559.jpg,A photo of flight information screens in an airport terminal.,69.76,An image of empty seats in a quiet airport terminal.,12.52,A photo of travelers queuing at an airport terminal check-in desk.,7.91
디저트카페_우즈베이커리카페 수성호수점_1930.jpg,a photo of bread loaves in a rustic bakery shop,35.56,an image of a delicatessen offering artisanal breads and pastries,29.12,an image of a bakery shop with assorted cookies on shelves,11.6
디저트카페_우즈베이커리카페 수성호수점_1931.jpg,A photo of a well-lit dining hall with modern decor.,51.27,An image of a spacious public atrium with skylights.,17.42,A photo of a bustling atrium in a public space.,16.55
디저트카페_이진상회_545.jpg,A photo of an outdoor bazaar filled with shoppers and vendors.,34.47,An image of lively commerce at a crowded outdoor bazaar.,24.54,A photo of diverse goods displayed at an outdoor bazaar.,15.51
디저트카페_이진상회_546.jpg,An image of a modern doorway leading outside.,69.69,A photo of a synagogue's grand entrance and steps.,17.25,An image of a wooden doorway opening to a courtyard.,6.35
디저트카페_이진상회_547.jpg,A photo of a hunting lodge exterior in a mountainous area.,25.19,An image of a traditional hunting lodge with wooden beams.,21.02,An image of a rustic hunting lodge surrounded by trees.,20.39
디저트카페_인스퍼레이션디 동촌유원지점_1950.jpg,A photo of an outdoor parking garage entrance.,41.97,An image of a multi-level outdoor parking garage.,41.49,An image of sprawling industrial area under cloudy skies.,3.35
디저트카페_인스퍼레이션디 동촌유원지점_1951.jpg,A photo of an empty restaurant patio with elegant decor.,37.75,an image of a rustic patio with wooden chairs,19.73,An image of diners enjoying a sunny restaurant patio.,14.2
디저트카페_초이스엠_1944.jpg,A photo of a modern glass office building under blue skies.,62.52,a photo of an outdoor library under a clear sky,10.81,An image of a sleek office building with a minimalist design.,7.91
디저트카페_초이스엠_1945.jpg,a photo of bread loaves in a rustic bakery shop,64.34,an image of a bakery shop with assorted cookies on shelves,13.74,an image of a delicatessen offering artisanal breads and pastries,13.69
디저트카페_초이스엠_1946.jpg,A photo of a modern glass office building under blue skies.,47.31,"A photo of industrial area, cranes and warehouses visible.",17.38,An image of industrial area with smokestacks releasing steam.,9.14
디저트카페_카페 레드브리끄_478.jpg,a photo of hotel outdoor seating with cozy lighting,30.79,an image of a cozy outdoor diner with string lights,29.03,a photo of hotel outdoor entrance with elegant decor,17.11
디저트카페_토지베이커리브런치카페_499.jpg,An image of a vintage-style ice cream parlor counter.,23.94,A photo of colorful ice cream cones on display.,22.52,An image of a bustling ice cream parlor interior.,16.74
디저트카페_토지베이커리브런치카페_500.jpg,An image of a cockpit featuring advanced navigation systems.,65.73,An image of a cockpit showcasing complex control panels.,19.07,A photo of flight information screens in an airport terminal.,4.55
디저트카페_포레스트아웃팅스 송도점_1062.jpg,A photo of a bustling indoor shopping mall atrium.,60.56,A photo of a bustling atrium in a public space.,9.99,An image of escalators in a modern shopping mall.,8.7
디저트카페_포레스트아웃팅스 송도점_1063.jpg,A photo of a retro motel with a flickering vacancy sign.,62.79,A photo of a classic motel exterior and parking lot.,10.11,An image of a roadside motel with neon lights.,8.21
디저트카페_프릳츠 도화점_52.jpg,A photo of a cozy rooftop garden space.,34.73,An image of a vibrant urban roof garden.,28.67,A photo of a tranquil rooftop garden setting.,11.08
디저트카페_프릳츠 도화점_53.jpg,a photo of a cozy coffee shop with wooden tables,39.7,an image of a barista preparing drinks in a coffee shop,20.43,a photo of a modern coffee shop with minimalist decor,18.61
디저트카페_프릳츠 도화점_54.jpg,a photo of a fast food menu board display,36.36,a photo of a busy fast food restaurant interior,18.24,an image of people ordering at a fast food restaurant,10.59
떡볶이_골목떡볶이_367.jpg,An image of a vibrant toy shop filled with games.,74.8,an image of products moving along an assembly line,13.99,a photo of a hardware store displaying various hammers,2.26
"릉,묘,총_김포장릉_790.jpg",a photo of a narrow path surrounded by tall trees,60.17,an image of a peaceful path in a lush forest,13.47,an image of a winding trail in the forest,12.79
"릉,묘,총_동구릉_770.jpg",An image of a historical cemetery with weathered tombstones.,52.13,A photo of a peaceful cemetery with old gravestones.,24.3,a photo of a mausoleum with intricate stone carvings,8.83
"릉,묘,총_동구릉_771.jpg",A photo of a village with traditional thatched-roof houses.,39.41,An image of a dig site revealing historical artifacts.,23.92,A photo of unearthed bones from an archaeological dig.,8.77
"릉,묘,총_동구릉_772.jpg",an image of a traditional pagoda in the mist,56.4,A photo of a peaceful temple courtyard in Asia.,17.21,A photo of an ancient temple nestled in an Asian landscape.,11.75
"릉,묘,총_서오릉_773.jpg",an image of an amphitheater with a central stage and arches,72.15,a photo of an empty amphitheater with tiered stone seating,9.95,a photo of a mausoleum with intricate stone carvings,7.82
"릉,묘,총_서오릉_774.jpg",A photo of a modern ticket booth with digital screens.,45.4,An image of closed elevator doors with a digital floor display.,18.57,a photo of a secure bank vault door ajar,10.56
"릉,묘,총_서오릉_775.jpg",a photo of a narrow path surrounded by tall trees,64.23,an image of a winding trail in the forest,18.94,an image of a peaceful path in a lush forest,8.13
"릉,묘,총_서울선릉과정릉_259.jpg",an image of a nursery filled with colorful toys,61.01,an image of a bright nursery with playful animal prints,12.15,A photo of a meticulously maintained clean room environment.,8.11
"릉,묘,총_서울선릉과정릉_260.jpg",a photo of a weathered mausoleum in a quiet cemetery,45.48,a photo of a mausoleum with intricate stone carvings,18.97,An image of a historical cemetery with weathered tombstones.,13.37
"릉,묘,총_서울선릉과정릉_261.jpg",a photo of intricate topiary garden with lush greenery,39.99,a photo of meticulously crafted topiary garden designs,39.25,an image of topiary garden featuring artfully trimmed shrubs,9.78
"릉,묘,총_연산동고분군_1710.jpg",An image of a village surrounded by lush green hills.,88.34,An image of downtown with a lively weekend market.,5.47,A photo of a village nestled in a mountain valley.,3.73
"릉,묘,총_연산동고분군_1711.jpg",An image of a dig site revealing historical artifacts.,78.3,A photo of tools used in an archaeological excavation.,13.13,A photo of a museum indoor exhibit with ancient artifacts.,3.22
"릉,묘,총_연산동고분군_1712.jpg",An image of a charming village with winding dirt roads.,32.59,An image of a lush tree farm surrounded by hills.,15.0,A photo of a village nestled in a mountain valley.,12.38
"릉,묘,총_영녕릉 세종대왕유적지구 세종대왕릉_786.jpg",an image of a spacious locker room with wooden benches,29.1,An image of organized shelves in an archive.,27.12,A photo of dusty documents in an archive.,13.94
"릉,묘,총_화성융릉과건릉_776.jpg",An image of grapevines stretching across rolling hills.,42.92,a photo of meticulously crafted topiary garden designs,16.19,A photo of a formal garden with symmetrical pathways.,10.49
"릉,묘,총_화성융릉과건릉_777.jpg",An image of a museum indoor space featuring historical displays.,43.59,An image of fossils displayed in a natural history museum.,20.44,A photo of a museum indoor exhibit with ancient artifacts.,20.09
"릉,묘,총_화성융릉과건릉_778.jpg",An image of interactive displays at a science museum.,69.87,A photo of a futuristic exhibit in a science museum.,25.54,A photo of vintage scientific instruments in a science museum.,3.38
문_광화문_247.jpg,An image of downtown with a lively weekend market.,79.49,An image of vibrant downtown shops and cafes.,8.73,A photo of a bustling street with busy traffic.,5.55
문_광화문_248.jpg,An image of downtown with a lively weekend market.,61.16,a photo of a spacious plaza surrounded by tall buildings,24.86,A photo of a bustling street with busy traffic.,5.55
문_광화문_249.jpg,A photo of a skyscraper touching the clear blue sky.,45.26,An image of a skyscraper with reflective glass windows.,35.41,An image of a modern skyscraper with geometric designs.,14.01
문_금정산성 남문_1696.jpg,a photo of a mausoleum with intricate stone carvings,30.33,A photo of a peaceful temple courtyard in Asia.,22.75,a photo of a pagoda with intricate roof designs,12.12
문_독립문_270.jpg,a photo of an ancient stone archway under a clear sky,44.14,An image of a stone aqueduct under a clear sky.,26.54,a photo of a brick arch in a historical setting,15.4
문_독립문_271.jpg,A photo of a well-lit conference center auditorium.,23.83,An image of a conference center with a grand entrance.,22.36,a photo of a lecture room filled with students,17.23
문_독립문_272.jpg,An image of a vintage ticket booth with ornate details.,99.51,A photo of a colorful ticket booth at a fairground.,0.23,An image of an empty ticket booth with closed shutters.,0.05
문_수원화성 장안문_782.jpg,an image of a rope bridge swaying in the wind,25.15,A photo of a narrow mountain path through dense forest.,18.45,A photo of a rocky mountain path leading to peaks.,17.07
문_수원화성 장안문_783.jpg,a photo of a pagoda with intricate roof designs,72.17,A photo of a peaceful temple courtyard in Asia.,8.62,an image of a traditional pagoda in the mist,7.07
문_수원화성 장안문_784.jpg,A photo of fresh tracks on a pristine ski slope.,38.45,An image of a snow-covered ski slope on a sunny day.,17.9,An image of cars moving swiftly on a busy highway.,14.67
문_수원화성 팔달문_794.jpg,A photo of a densely packed urban slum neighborhood.,17.3,An image of makeshift housing lining a bustling slum street.,16.61,A photo of a peaceful temple courtyard in Asia.,15.37
문_수원화성 팔달문_795.jpg,An image of vibrant lanterns adorning an Asian temple.,38.93,a photo of a pagoda with intricate roof designs,21.1,a photo of a historic palace with ornate stone carvings,19.02
문_수원화성 팔달문_796.jpg,A photo of a peaceful temple courtyard in Asia.,34.08,A photo of an ancient temple nestled in an Asian landscape.,30.66,An image of an intricately designed Asian temple at sunset.,16.8
문_숭례문_253.jpg,An image of a grand throne room with velvet drapes.,22.02,An image of an opulent throne room with marble floors.,21.12,An image of vibrant lanterns adorning an Asian temple.,16.13
문_숭례문_254.jpg,a photo of a spacious plaza surrounded by tall buildings,36.5,an image of a vibrant plaza with colorful lights,27.7,An image of downtown with a lively weekend market.,15.29
문_숭례문_255.jpg,a photo of a spacious plaza surrounded by tall buildings,74.11,an image of a plaza with fountains and benches,25.32,An image of vibrant downtown shops and cafes.,0.16
문_홍예문_1262.jpg,A photo of eerie catacomb tunnels with dim lighting.,58.71,"An image of a narrow catacomb passageway, dimly lit.",14.62,A photo of shadowy catacombs with arched ceilings.,6.86
