파일명,소분류1,확률1(%),소분류2,확률2(%),소분류3,확률3(%)
냉면_골목냉면 혜화점_405.jpg,Baskets overflowing with spices,32.91,Seasonal produce in abundance,29.62,Artisanal crafts from local vendors,25.23
냉면_골목냉면 혜화점_406.jpg,Artisanal crafts from local vendors,45.52,Baskets overflowing with spices,33.13,Seasonal produce in abundance,13.62
냉면_골목냉면 혜화점_407.jpg,Baskets overflowing with spices,52.96,Artisanal crafts from local vendors,16.93,Handcrafted goods on display,9.97
냉면_골목냉면_380.jpg,street view with distant mountains,48.82,quaint shops lining cobblestone street,26.95,empty street with classic architecture,8.64
냉면_깡통골목 원조비빔당면_1821.jpg,gallery surrounded by blooming gardens,56.97,Open-air market architecture,12.66,Handcrafted goods on display,10.94
냉면_깡통골목 원조비빔당면_1822.jpg,Handcrafted goods on display,80.17,Artisanal crafts from local vendors,6.19,Vibrant market stalls at dawn,4.42
냉면_수택골목냉면_906.jpg,Artisanal crafts from local vendors,35.49,Baskets overflowing with spices,31.97,Seasonal produce in abundance,12.31
냉면_수택골목냉면_907.jpg,bar nestled in mountain village,30.65,colorful bar with neon lights,26.87,early morning light on bakery sign,14.0
도보여행_서서울호수공원 산책길_142.jpg,wildflowers blooming in forest clearings,47.08,Sunlight on rose bushes,29.02,Cherry blossoms in full bloom,8.89
도보여행_서서울호수공원 산책길_143.jpg,moonlight shimmering on river,21.61,reflections in serene palace pond,19.5,serene river bend at sunrise,17.3
도시근린공원_광교호수공원_626.jpg,fountain surrounded by urban skyline,50.81,historic fountain reflecting in water,12.47,fountain with ornate stone carvings,7.37
도시근린공원_광교호수공원_627.jpg,reflections in serene palace pond,90.09,Tranquil pond reflecting the sky,3.85,boats reflecting in calm water,3.15
도시근린공원_광교호수공원_628.jpg,reflections in serene palace pond,36.77,calm reflections on river surface,27.26,Reflection of rides in water,21.98
도시근린공원_금광호수공원_652.jpg,Roller coaster with mountain backdrop,20.55,Roller coaster with mountain backdrop,20.55,Colorful flags fluttering in breeze,12.44
도시근린공원_기흥호수공원_647.jpg,Seasonal decorations on store exterior,34.04,storm clouds gathering over harbor,15.45,quaint fishing boats lingering,8.85
도시근린공원_기흥호수공원_648.jpg,Blooming flower beds in spring,41.51,Abandoned ride surrounded by greenery,27.01,vibrant flowers in palace gardens,10.0
도시근린공원_기흥호수공원_649.jpg,bridge arching over flowing river,73.94,calm reflections on river surface,14.37,serene river bend at sunrise,2.95
도시근린공원_반월호수공원_656.jpg,snow-dusted palace under winter sun,61.45,Panoramic view of the zoo gardens,12.51,traditional rooftops against clear sky,6.0
도시근린공원_반월호수공원_657.jpg,snow-dusted palace under winter sun,36.8,Roller coaster with mountain backdrop,17.42,Vintage amusement park entrance sign,15.3
도시근린공원_반월호수공원_658.jpg,Stone bridge over gentle stream,52.06,Garden pathway with stone arch,29.62,Historic fountain under clear blue sky,4.98
도시근린공원_상동호수공원_632.jpg,trail winding through rocky terrain,31.13,Roller coaster with mountain backdrop,14.45,Roller coaster with mountain backdrop,14.45
도시근린공원_상동호수공원_633.jpg,Garden pathway with stone arch,43.75,vibrant flowers in palace gardens,27.45,Blooming flower beds in spring,18.85
도시근린공원_상동호수공원_634.jpg,Vintage amusement park entrance sign,30.26,Garden pathway with stone arch,16.72,Abandoned ride surrounded by greenery,11.24
도시근린공원_서서울호수공원_127.jpg,calm reflections on river surface,38.72,Reflection in garden pond,12.03,Reflection of rides in water,10.2
도시근린공원_안산호수공원_638.jpg,Cherry blossoms in full bloom,98.76,Blooming flower beds in spring,1.03,vibrant flowers in palace gardens,0.1
도시근린공원_안산호수공원_639.jpg,Festival banners waving in the breeze,33.68,Colorful flags fluttering in breeze,20.68,Festival grounds under starry sky,17.88
도시근린공원_안산호수공원_640.jpg,Festival grounds under starry sky,76.5,Festival banners waving in the breeze,14.92,Colorful festival flags against blue sky,4.05
도시근린공원_오남호수공원_653.jpg,nighttime fountain illuminated by lights,38.18,Festival grounds under starry sky,9.47,Festival reflections on nearby water,9.22
도시근린공원_오남호수공원_655.jpg,mountain vista from trail summit,38.65,trail winding through rocky terrain,25.1,view of distant valley from trail,18.21
도시근린공원_옥정호수공원_660.jpg,Festival grounds under starry sky,68.1,Festival lanterns illuminating pathways,13.09,Festival banners waving in the breeze,4.83
도시근린공원_옥정호수공원_661.jpg,Festival banners waving in the breeze,53.37,Festival grounds under starry sky,24.09,Cultural symbols adorning festival entrance,9.39
도시근린공원_운정호수공원_635.jpg,bridge arching over flowing river,44.96,reflections in serene palace pond,26.41,Stone bridge over gentle stream,15.35
도시근린공원_운정호수공원_637.jpg,bridge arching over flowing river,91.6,Stone bridge over gentle stream,5.98,wildflowers along riverbank path,0.79
도시근린공원_장자호수공원_641.jpg,street view with distant mountains,71.58,quaint shops lining cobblestone street,10.41,empty street with classic architecture,8.14
도시근린공원_장자호수공원_642.jpg,street view with distant mountains,52.8,empty street with classic architecture,15.67,bustling market street at dawn,8.84
도시근린공원_장자호수공원_643.jpg,street view with distant mountains,76.41,empty street with classic architecture,10.3,traditional rooftops against clear sky,6.04
도시근린공원_청라호수공원_1107.jpg,wildflowers blooming in forest clearings,37.68,Garden pathway with stone arch,22.56,Blooming flower beds in spring,15.37
도시근린공원_청라호수공원_1108.jpg,Reflection of rides in water,54.34,quaint fishing boats lingering,23.49,calm reflections on river surface,6.64
도시근린공원_청라호수공원_1109.jpg,Garden pathway with stone arch,51.84,Starry night sky over the observatory,16.21,Observatory architecture against clear sky,9.32
도시근린공원_해오름호수공원_1110.jpg,serene river bend at sunrise,34.33,sunset hues on river horizon,20.36,sunset hues over trail landscape,17.9
도시근린공원_해오름호수공원_1111.jpg,Palace silhouette at dusk,54.16,reflections in serene palace pond,16.5,Amusement park skyline at twilight,9.92
도시근린공원_해오름호수공원_1112.jpg,serene river bend at sunrise,31.56,bridge arching over flowing river,16.41,Tranquil pond reflecting the sky,13.59
등산정보_관악산 호수공원분기점_144.jpg,Reflection of rides in water,18.33,trail leading to hidden waterfall,18.0,trail winding through rocky terrain,13.04
등산정보_관악산 호수공원분기점_145.jpg,trail winding through rocky terrain,32.28,Vintage amusement park entrance sign,10.1,Roller coaster with mountain backdrop,9.74
등산정보_관악산 호수공원분기점_146.jpg,trail winding through rocky terrain,60.87,Birds circling above the old tower,9.37,autumn leaves carpeting trail,7.41
디저트카페_동양염전베이커리카페_1080.jpg,reflections in serene palace pond,39.84,Reflections on glass storefront windows,29.83,Department store architectural facade,8.28
디저트카페_동양염전베이커리카페_1081.jpg,Penguins playing by the waterfall,57.24,Cultural symbols adorning festival entrance,13.81,Festival reflections on nearby water,10.75
디저트카페_동양염전베이커리카페_1082.jpg,Cozy outdoor seating with lanterns,42.39,Sunlit patio with climbing roses,19.45,Cherry blossoms in full bloom,16.02
디저트카페_마롱브런치&베이커리카페_495.jpg,theater balcony overlooking the street,19.58,Cozy outdoor seating with lanterns,15.41,Scenic view from restaurant balcony,13.22
디저트카페_마롱브런치&베이커리카페_496.jpg,historic cinema building exterior,41.73,art deco cinema architecture,25.15,retro cinema facade,13.27
디저트카페_바다와풍경_490.jpg,Festival grounds under starry sky,55.05,Festival banners waving in the breeze,14.41,Colorful festival flags against blue sky,9.7
디저트카페_바다와풍경_491.jpg,sailboats against vibrant skyline,83.9,quaint fishing boats lingering,8.25,sailboats docked at twilight,6.73
디저트카페_보스커피&브런치_12.jpg,Seasonal produce in abundance,57.84,Artisanal crafts from local vendors,21.99,hidden bar in urban courtyard,4.69
디저트카페_브런치카페 이엘_1507.jpg,hidden bar in urban courtyard,74.66,bar with rooftop cityscape view,6.33,colorful bar with neon lights,3.78
디저트카페_브룩스_1543.jpg,artistic gallery entrance detail,51.34,hidden bar in urban courtyard,15.48,waterfall tumbling into tranquil pool,9.44
디저트카페_빠르끄 풍동본점_575.jpg,Baskets overflowing with spices,79.25,Seasonal produce in abundance,10.39,Artisanal crafts from local vendors,3.61
디저트카페_빠르끄 풍동본점_576.jpg,Baskets overflowing with spices,93.66,Artisanal crafts from local vendors,2.11,Seasonal produce in abundance,1.61
디저트카페_빠르끄 풍동본점_577.jpg,Artisanal crafts from local vendors,19.25,sunlight streaming on bakery entrance,18.92,bakery courtyard with rustic charm,11.56
디저트카페_스타골목커피_1397.jpg,Festival banners waving in the breeze,65.99,Festival grounds under starry sky,25.09,Colorful festival flags against blue sky,4.01
디저트카페_스타골목커피_1398.jpg,Festival banners waving in the breeze,88.6,Festival grounds under starry sky,8.08,Colorful festival flags against blue sky,2.74
디저트카페_스타골목커피_1399.jpg,Festival grounds under starry sky,67.14,stream flowing through lush forest,7.77,ancient trees in silent forest,4.05
디저트카페_어로프슬라이스피스_551.jpg,charming cobblestone street to bakery,50.56,bakery courtyard with rustic charm,28.11,quaint bakery facade with flowers,10.46
디저트카페_어로프슬라이스피스_552.jpg,Seasonal decorations on store exterior,70.55,Handcrafted goods on display,8.65,Market entrance with traditional decor,7.39
디저트카페_어로프슬라이스피스_553.jpg,Vintage amusement park entrance sign,60.2,bar nestled in mountain village,11.83,Charming entrance with vintage signage,10.25
디저트카페_에테르_1476.jpg,Scenic view from restaurant balcony,57.26,coastal bar overlooking ocean,19.65,Rooftop terrace overlooking cityscape,7.27
디저트카페_우즈베이커리_1559.jpg,Cozy outdoor seating with lanterns,19.23,colorful bar with neon lights,17.56,hidden bar in urban courtyard,15.12
디저트카페_우즈베이커리카페 수성호수점_1930.jpg,vintage bakery window display,44.3,bakery nestled in snowy village,18.97,bakery amidst autumn foliage,10.56
디저트카페_우즈베이커리카페 수성호수점_1931.jpg,Rooftop terrace overlooking cityscape,25.93,gallery surrounded by blooming gardens,17.67,gallery roofline with city backdrop,13.02
디저트카페_이진상회_545.jpg,Open-air market architecture,49.52,historic pavilion with mountain backdrop,20.65,Handcrafted goods on display,8.8
디저트카페_이진상회_546.jpg,Charming entrance with vintage signage,39.93,Temple entrance with ornate details,18.5,Historic street view from doorway,15.65
디저트카페_이진상회_547.jpg,Rustic wooden facade and shutters,41.0,historic pavilion with mountain backdrop,13.5,Quaint courtyard with stone path,10.21
디저트카페_인스퍼레이션디 동촌유원지점_1950.jpg,quaint bakery facade with flowers,65.42,early morning light on bakery sign,17.6,bakery nestled in snowy village,5.03
디저트카페_인스퍼레이션디 동촌유원지점_1951.jpg,Rooftop terrace overlooking cityscape,36.36,Cozy outdoor seating with lanterns,20.06,coastal bar overlooking ocean,16.91
디저트카페_초이스엠_1944.jpg,cinema roofline against blue sky,58.28,retro cinema facade,12.76,Department store architectural facade,9.14
디저트카페_초이스엠_1945.jpg,bakery nestled in snowy village,50.87,vintage bakery window display,24.94,bakery amidst autumn foliage,7.57
디저트카페_초이스엠_1946.jpg,distant mountains seen from stadium,39.84,rainbow over stadium's entrance,30.74,Seasonal decorations on store exterior,6.19
디저트카페_카페 레드브리끄_478.jpg,Night lights illuminating storefront,39.56,retro cinema facade,9.99,art deco cinema architecture,9.14
디저트카페_토지베이커리브런치카페_499.jpg,Market signs in vibrant colors,79.18,Baskets overflowing with spices,9.93,Seasonal produce in abundance,7.43
디저트카페_토지베이커리브런치카페_500.jpg,colorful bar with neon lights,24.08,bar with sprawling vineyard view,17.56,bar nestled in mountain village,14.23
디저트카페_포레스트아웃팅스 송도점_1062.jpg,Seasonal decorations on store exterior,95.17,Sunlight through department store atrium,2.87,Intricate window display details,1.07
디저트카페_포레스트아웃팅스 송도점_1063.jpg,Cultural symbols adorning festival entrance,33.8,Festival grounds under starry sky,27.75,wildflowers blooming in forest clearings,8.58
디저트카페_프릳츠 도화점_52.jpg,hidden bar in urban courtyard,52.76,rustic bar with wooden façade,26.05,bar with rooftop cityscape view,7.26
디저트카페_프릳츠 도화점_53.jpg,early morning light on bakery sign,78.75,Charming entrance with vintage signage,10.7,Cozy outdoor seating with lanterns,2.05
디저트카페_프릳츠 도화점_54.jpg,Penguins playing by the waterfall,33.05,bar nestled in mountain village,22.14,historic bar with vintage signage,7.81
떡볶이_골목떡볶이_367.jpg,quaint shops lining cobblestone street,40.14,Open-air market architecture,33.18,Market signs in vibrant colors,14.05
"릉,묘,총_김포장릉_790.jpg",trail leading to hidden waterfall,29.44,forest path with fallen leaves,23.93,Sun-dappled path through tall trees,23.73
"릉,묘,총_동구릉_770.jpg",fountain with ornate stone carvings,82.07,Temple courtyard surrounded by gardens,3.0,Temple facade with intricate carvings,2.58
"릉,묘,총_동구릉_771.jpg",Festival grounds under starry sky,56.17,Temple courtyard surrounded by gardens,13.38,traditional rooftops against clear sky,6.15
"릉,묘,총_동구릉_772.jpg",Temple courtyard surrounded by gardens,53.04,Temple steps leading to mountains,10.34,Sculptural museum water fountain,9.09
"릉,묘,총_서오릉_773.jpg",Temple courtyard surrounded by gardens,47.9,Temple entrance with ornate details,13.68,historic pavilion with mountain backdrop,12.28
"릉,묘,총_서오릉_774.jpg",Temple entrance with ornate details,44.58,Temple steps leading to mountains,11.49,Temple facade with intricate carvings,9.62
"릉,묘,총_서오릉_775.jpg",trail winding through pine forest,70.15,forest path with fallen leaves,14.54,misty morning in dense forest,4.82
"릉,묘,총_서울선릉과정릉_259.jpg",Historic fountain under clear blue sky,21.12,autumn hues surrounding palace grounds,17.8,Blooming flower beds in spring,11.65
"릉,묘,총_서울선릉과정릉_260.jpg",street art on historic building walls,57.56,artistic gallery entrance detail,12.49,vibrant murals on gallery walls,12.48
"릉,묘,총_서울선릉과정릉_261.jpg",Garden pathway with stone arch,68.75,Blooming flower beds in spring,15.38,Abandoned ride surrounded by greenery,6.74
"릉,묘,총_연산동고분군_1710.jpg",autumn hues surrounding palace grounds,13.62,Blooming flower beds in spring,12.39,Cherry blossoms in full bloom,10.33
"릉,묘,총_연산동고분군_1711.jpg",ornate carvings on palace walls,62.45,Ornate museum entrance details,14.62,historic architecture of gallery exterior,7.28
"릉,묘,총_연산동고분군_1712.jpg",Temple tower framed by lush trees,31.3,Temple reflected in serene pond,21.22,View from temple overlooking valley,9.36
"릉,묘,총_영녕릉 세종대왕유적지구 세종대왕릉_786.jpg",wildflowers blooming in forest clearings,36.9,gallery surrounded by blooming gardens,31.33,forest path with fallen leaves,5.12
"릉,묘,총_화성융릉과건릉_776.jpg",trail winding through rocky terrain,49.23,Roller coaster with mountain backdrop,22.4,trail leading to hidden waterfall,12.53
"릉,묘,총_화성융릉과건릉_777.jpg",Shadow patterns on museum walls,29.84,Historic architecture in museum courtyard,24.57,gallery surrounded by blooming gardens,13.68
"릉,묘,총_화성융릉과건릉_778.jpg",Sculptural museum water fountain,55.71,Ornate museum entrance details,9.1,Historic architecture in museum courtyard,8.72
문_광화문_247.jpg,Reflections on glass storefront windows,34.83,street view with distant mountains,10.02,Market signs in vibrant colors,7.54
문_광화문_248.jpg,foggy street with old-world charm,43.0,Market signs in vibrant colors,17.62,Artisanal crafts from local vendors,11.47
문_광화문_249.jpg,fountain surrounded by urban skyline,54.58,Tower reflection in nearby water,28.48,historic fountain reflecting in water,7.72
문_금정산성 남문_1696.jpg,ancient gate framed by trees,37.9,ancient gate framed by trees,37.9,Temple entrance with ornate details,10.43
문_독립문_270.jpg,ancient gate framed by trees,23.09,Sunrise glow on ancient temple,16.7,Temple entrance with ornate details,14.74
문_독립문_271.jpg,theater surrounded by autumn foliage,38.71,gallery surrounded by blooming gardens,23.78,theater garden with blooming flowers,9.71
문_독립문_272.jpg,Market entrance with traditional decor,24.3,ornate carvings on palace walls,14.65,ornate carvings on palace walls,14.65
문_수원화성 장안문_782.jpg,Stone bridge over gentle stream,42.15,trail winding through rocky terrain,41.85,Colorful flags fluttering in breeze,5.0
문_수원화성 장안문_783.jpg,Temple courtyard surrounded by gardens,47.6,Temple entrance with ornate details,12.02,Temple facade with intricate carvings,11.43
문_수원화성 장안문_784.jpg,Vintage amusement park entrance sign,25.13,Vintage amusement park entrance sign,25.13,Reflection of rides in water,7.96
문_수원화성 팔달문_794.jpg,Market entrance with traditional decor,30.08,historic pavilion with mountain backdrop,19.2,Temple courtyard surrounded by gardens,16.71
문_수원화성 팔달문_795.jpg,Festival banners waving in the breeze,64.2,Colorful festival flags against blue sky,18.84,Cultural symbols adorning festival entrance,4.96
문_수원화성 팔달문_796.jpg,traditional rooftops against clear sky,23.16,Temple courtyard surrounded by gardens,13.74,Golden light on temple roof,11.37
문_숭례문_253.jpg,Reflections in palace courtyard fountain,15.42,Historic murals on palace walls,14.57,reflections in serene palace pond,9.68
문_숭례문_254.jpg,Twinkling lights on carousel horses,53.2,nighttime fountain illuminated by lights,21.61,fountain surrounded by urban skyline,19.31
문_숭례문_255.jpg,Blooming flower beds in spring,32.07,Fountain surrounded by tulips,24.7,Historic fountain under clear blue sky,18.93
문_홍예문_1262.jpg,Stone bridge over gentle stream,38.19,Narrow cobblestone alley at dawn,14.62,Shadowed alley under vintage lamps,11.54
문_홍예문_1264.jpg,Garden pathway with stone arch,76.68,Alley with hidden garden gate,15.43,Ivy-covered garden wall,6.17
문_흥인지문_257.jpg,fountain surrounded by urban skyline,37.59,fountain with ornate stone carvings,35.59,Historic fountain under clear blue sky,14.54
문_흥인지문_258.jpg,Birds circling above the old tower,45.29,historic pavilion with mountain backdrop,14.93,Historic architecture details of tower,11.52
문화유적_고려궁지_1230.jpg,Temple steps leading to mountains,70.02,Temple entrance with ornate details,18.97,Grand staircase leading upwards,4.14
문화유적_고려궁지_1231.jpg,Temple courtyard surrounded by gardens,76.26,Temple entrance with ornate details,7.66,historic pavilion with mountain backdrop,6.65
문화유적_고려궁지_1232.jpg,Temple entrance with ornate details,57.86,Temple facade with intricate carvings,11.63,Temple courtyard surrounded by gardens,9.2
문화유적_서울암사동유적_273.jpg,bakery nestled in snowy village,33.14,Handcrafted goods on display,19.95,bakery amidst autumn foliage,19.07
문화유적_서울암사동유적_274.jpg,theater balcony overlooking the street,19.74,theater garden with blooming flowers,16.12,theater exterior with grand entrance,11.14
문화유적_서울암사동유적_275.jpg,trail winding through pine forest,51.77,wildflowers blooming in forest clearings,24.02,forest path with fallen leaves,4.18
문화유적_석파정_263.jpg,Historic architecture in museum courtyard,35.27,Quiet museum courtyard nooks,16.71,Rustic wooden facade and shutters,16.28
문화유적_연미정_1226.jpg,Garden pathway with stone arch,62.31,Stone bridge over gentle stream,34.05,Sculptured topiary under clear sky,0.97
문화유적_외양포진지_1701.jpg,vibrant murals on gallery walls,30.02,artistic gallery entrance detail,29.95,Shadow patterns on museum walls,9.58
문화유적_외양포진지_1702.jpg,Vintage amusement park entrance sign,42.88,Charming entrance with vintage signage,40.3,Historic street view from doorway,6.31
문화유적_외양포진지_1703.jpg,Penguins playing by the waterfall,36.1,Ornate museum entrance details,13.5,Lions resting in the savanna,9.93
문화유적_원인재_1247.jpg,Temple courtyard surrounded by gardens,53.86,Temple facade with intricate carvings,18.47,Temple entrance with ornate details,11.39
문화유적_원인재_1248.jpg,Cozy outdoor seating with lanterns,48.64,Reflection in garden pond,22.26,Fountain surrounded by tulips,8.81
문화유적_원인재_1249.jpg,Temple courtyard surrounded by gardens,31.9,historic pavilion with mountain backdrop,22.27,historic pavilion with mountain backdrop,22.27
문화유적_장수동 은행나무_1236.jpg,Golden leaves in autumn sunlight,83.42,Autumn leaves carpeting the ground,14.86,seasonal blossoms near gallery windows,0.61
문화유적_장수동 은행나무_1238.jpg,Stone bridge over gentle stream,22.25,Historic fountain under clear blue sky,18.36,Historic architecture details of tower,16.6
문화유적_정약용유적지_791.jpg,Historic fountain under clear blue sky,58.89,Vintage amusement park entrance sign,6.2,Vintage amusement park entrance sign,6.2
문화유적_정약용유적지_792.jpg,Festival grounds under starry sky,42.32,Temple courtyard surrounded by gardens,20.05,Traditional festival decorations up close,10.09
문화유적_정약용유적지_793.jpg,distant mountains seen from stadium,16.75,panoramic view from stadium roof,12.32,autumn leaves framing stadium,9.58
문화유적_충렬사_1680.jpg,historic pavilion with mountain backdrop,29.35,historic pavilion with mountain backdrop,29.35,Temple steps leading to mountains,21.02
문화유적_충렬사_1681.jpg,Temple entrance with ornate details,72.03,Temple facade with intricate carvings,9.78,Temple courtyard surrounded by gardens,3.36
문화유적_충렬사_1682.jpg,historic pavilion with mountain backdrop,42.35,Temple courtyard surrounded by gardens,26.84,Temple reflected in serene pond,6.56
문화유적_해월정_1700.jpg,reflection of gallery on rain puddle,66.32,Reflection of rides in water,25.86,artistic gallery entrance detail,2.51
미술관_가나아트파크_696.jpg,Panoramic view of the zoo gardens,80.97,Garden pathway with stone arch,4.8,Zebras grazing on open field,3.35
미술관_가나아트파크_697.jpg,vibrant murals on gallery walls,52.68,reflection of gallery on rain puddle,12.33,gallery surrounded by blooming gardens,9.78
미술관_가나아트파크_698.jpg,bar nestled in mountain village,31.89,Historic street view from doorway,31.34,Charming entrance with vintage signage,9.87
미술관_간송미술관_190.jpg,fountain in tranquil garden setting,59.35,fountain with ornate stone carvings,13.03,Garden pathway with stone arch,11.16
미술관_간송미술관_191.jpg,fountain with ornate stone carvings,36.26,fountain in tranquil garden setting,23.19,fountain with cascading waterfalls,19.46
미술관_간송미술관_192.jpg,fountain with ornate stone carvings,40.1,Vibrant garden surrounding stone tower,17.22,fountain in tranquil garden setting,8.9
미술관_경기도미술관_683.jpg,quaint fishing boats lingering,44.1,sailboats against vibrant skyline,19.18,gallery surrounded by blooming gardens,10.08
미술관_경기도미술관_684.jpg,Festival banners waving in the breeze,43.91,Cultural symbols adorning festival entrance,27.35,Colorful festival flags against blue sky,14.99
미술관_경기도미술관_685.jpg,Sculptural museum water fountain,47.13,artistic gallery entrance detail,13.48,gallery surrounded by blooming gardens,12.95
미술관_경원미술관_1158.jpg,Baskets overflowing with spices,94.44,Seasonal produce in abundance,3.55,Market signs in vibrant colors,0.59
미술관_경원미술관_1159.jpg,traditional rooftops against clear sky,22.11,Temple entrance with ornate details,20.46,Temple courtyard surrounded by gardens,13.94
미술관_경원미술관_1160.jpg,neon-lit cinema entrance,47.63,artistic gallery entrance detail,9.76,Night lights illuminating storefront,7.34
미술관_고은사진미술관_1608.jpg,vibrant murals on gallery walls,54.99,gallery surrounded by blooming gardens,29.16,Historic architecture in museum courtyard,2.42
미술관_고은사진미술관_1609.jpg,Market signs in vibrant colors,38.8,Handcrafted goods on display,16.03,Artisanal crafts from local vendors,15.72
미술관_고은사진미술관_1610.jpg,vibrant murals on gallery walls,22.47,gallery surrounded by blooming gardens,22.12,reflection of gallery on rain puddle,16.56
미술관_구하우스미술관_689.jpg,artistic gallery entrance detail,29.64,Panoramic view of the zoo gardens,18.88,Lions resting in the savanna,17.68
미술관_국립현대미술관 과천_673.jpg,theater exterior with grand entrance,79.32,Museum facade at golden hour,6.04,Observatory architecture against clear sky,4.33
미술관_국립현대미술관 서울_156.jpg,Historic architecture in museum courtyard,50.55,Temple courtyard surrounded by gardens,18.33,Quiet museum courtyard nooks,6.83
