사진번호,파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%),라벨4,확률4(%),라벨5,확률5(%)
36,냉면_골목냉면 혜화점_405.jpg,delicatessen,38.45,fishpond,17.64,bakery/shop,10.02,restaurant,7.24,butchers_shop,6.83
37,냉면_골목냉면 혜화점_406.jpg,ice_cream_parlor,65.43,bakery/shop,18.53,delicatessen,7.25,clean_room,3.43,coffee_shop,1.64
38,냉면_골목냉면 혜화점_407.jpg,delicatessen,73.31,bakery/shop,10.98,ice_cream_parlor,6.31,restaurant,2.57,pizzeria,1.58
39,냉면_골목냉면_380.jpg,kindergarden_classroom,27.28,childs_room,10.95,drugstore,10.13,booth/indoor,8.36,recreation_room,6.63
40,냉면_깡통골목 원조비빔당면_1821.jpg,cafeteria,28.64,food_court,12.86,flea_market/indoor,12.81,market/indoor,6.06,dining_hall,4.72
41,냉면_깡통골목 원조비빔당면_1822.jpg,flea_market/indoor,29.86,market/indoor,25.88,hardware_store,9.22,bazaar/indoor,8.76,general_store/indoor,7.69
42,냉면_수택골목냉면_906.jpg,bakery/shop,59.09,delicatessen,10.96,ice_cream_parlor,10.6,coffee_shop,5.44,candy_store,3.58
43,냉면_수택골목냉면_907.jpg,fastfood_restaurant,61.18,food_court,16.2,shopfront,9.63,ice_cream_parlor,1.9,pizzeria,1.76
44,도보여행_서서울호수공원 산책길_142.jpg,tree_farm,41.75,botanical_garden,16.01,forest/broadleaf,9.94,orchard,8.19,yard,5.73
45,도보여행_서서울호수공원 산책길_143.jpg,canal/natural,23.73,lake/natural,17.81,marsh,16.91,river,8.53,lagoon,6.64
46,도시근린공원_광교호수공원_626.jpg,amphitheater,53.85,dam,23.15,bridge,4.69,construction_site,3.95,stadium/soccer,2.6
47,도시근린공원_광교호수공원_627.jpg,downtown,18.31,skyscraper,18.12,lake/natural,11.96,river,8.42,slum,5.56
48,도시근린공원_광교호수공원_628.jpg,canal/natural,38.83,river,16.15,moat/water,13.97,bridge,4.63,lake/natural,4.09
49,도시근린공원_금광호수공원_652.jpg,balcony/interior,14.24,lake/natural,11.55,islet,10.28,lagoon,7.76,vineyard,5.73
50,도시근린공원_기흥호수공원_647.jpg,parking_lot,86.36,highway,3.42,crosswalk,3.31,industrial_area,2.67,residential_neighborhood,1.73
51,도시근린공원_기흥호수공원_648.jpg,gazebo/exterior,39.55,pavilion,6.74,farm,5.16,lawn,3.37,campsite,3.0
52,도시근린공원_기흥호수공원_649.jpg,dam,76.94,boathouse,5.05,canal/natural,3.97,bridge,2.16,river,2.12
53,도시근린공원_반월호수공원_656.jpg,bus_station/indoor,14.73,hangar/outdoor,13.2,airport_terminal,5.75,general_store/outdoor,4.76,diner/outdoor,4.21
54,도시근린공원_반월호수공원_657.jpg,ski_resort,30.52,amusement_park,8.94,ticket_booth,7.99,train_station/platform,7.12,carrousel,4.45
55,도시근린공원_반월호수공원_658.jpg,formal_garden,8.22,topiary_garden,6.67,balcony/interior,6.66,roof_garden,6.03,village,6.0
56,도시근린공원_상동호수공원_632.jpg,art_studio,21.98,amusement_arcade,19.93,kindergarden_classroom,10.59,art_gallery,8.91,art_school,8.73
57,도시근린공원_상동호수공원_633.jpg,topiary_garden,35.46,arch,33.62,botanical_garden,11.8,park,4.3,tree_farm,2.79
58,도시근린공원_상동호수공원_634.jpg,windmill,94.75,wind_farm,4.36,farm,0.14,oast_house,0.06,barn,0.04
59,도시근린공원_서서울호수공원_127.jpg,pond,22.96,japanese_garden,16.31,tree_farm,7.47,lake/natural,6.21,swamp,5.97
60,도시근린공원_안산호수공원_638.jpg,park,69.94,campus,8.04,plaza,6.48,promenade,4.7,botanical_garden,1.98
61,도시근린공원_안산호수공원_639.jpg,kindergarden_classroom,23.96,dressing_room,19.16,art_school,14.25,classroom,9.34,art_studio,8.17
62,도시근린공원_안산호수공원_640.jpg,plaza,21.33,campus,20.36,stage/outdoor,13.27,beer_garden,5.79,bazaar/outdoor,5.01
63,도시근린공원_오남호수공원_653.jpg,fountain,93.65,hot_spring,2.93,water_park,1.54,aquarium,0.43,waterfall,0.26
64,도시근린공원_오남호수공원_655.jpg,mountain_path,82.37,mountain,6.77,valley,3.53,cliff,2.11,butte,1.16
65,도시근린공원_옥정호수공원_660.jpg,pavilion,64.38,stage/outdoor,10.21,market/indoor,3.09,racecourse,2.7,airport_terminal,1.89
66,도시근린공원_옥정호수공원_661.jpg,kindergarden_classroom,14.96,drugstore,11.67,toyshop,10.54,candy_store,10.15,beauty_salon,9.3
67,도시근린공원_운정호수공원_635.jpg,marsh,10.84,canal/urban,9.98,lake/natural,8.73,moat/water,8.56,swamp,7.71
68,도시근린공원_운정호수공원_637.jpg,bridge,22.38,canal/natural,17.07,dam,12.75,viaduct,12.43,river,10.47
69,도시근린공원_장자호수공원_641.jpg,drugstore,18.08,clean_room,15.33,booth/indoor,12.01,kindergarden_classroom,8.41,office_cubicles,6.7
70,도시근린공원_장자호수공원_642.jpg,crosswalk,59.43,downtown,25.96,parking_garage/outdoor,6.01,office_building,2.7,skyscraper,1.59
71,도시근린공원_장자호수공원_643.jpg,downtown,53.86,parking_lot,21.61,skyscraper,6.24,plaza,3.27,industrial_area,3.06
72,도시근린공원_청라호수공원_1107.jpg,amusement_park,27.23,windmill,12.71,formal_garden,10.53,cemetery,8.88,tower,6.93
73,도시근린공원_청라호수공원_1108.jpg,water_park,58.77,canal/urban,23.49,amusement_park,6.85,harbor,2.1,canal/natural,1.01
74,도시근린공원_청라호수공원_1109.jpg,pavilion,9.43,promenade,7.24,parking_lot,6.85,boardwalk,6.82,sky,6.38
75,도시근린공원_해오름호수공원_1110.jpg,swamp,15.9,pond,15.86,marsh,14.44,lake/natural,11.48,moat/water,9.07
76,도시근린공원_해오름호수공원_1111.jpg,castle,20.8,palace,13.65,marsh,9.44,swamp,8.84,mansion,5.63
77,도시근린공원_해오름호수공원_1112.jpg,canal/urban,34.51,moat/water,34.19,canal/natural,18.65,pond,3.92,lake/natural,0.93
78,등산정보_관악산 호수공원분기점_144.jpg,playroom,48.72,childs_room,34.33,amusement_arcade,7.02,nursery,2.44,art_gallery,1.18
79,등산정보_관악산 호수공원분기점_145.jpg,amusement_arcade,45.61,arena/performance,5.05,recreation_room,2.87,playground,2.7,formal_garden,2.26
80,등산정보_관악산 호수공원분기점_146.jpg,fishpond,15.56,boat_deck,8.98,landing_deck,6.58,oilrig,3.81,raft,3.76
81,디저트카페_동양염전베이커리카페_1080.jpg,dam,34.44,loading_dock,19.45,industrial_area,12.64,library/outdoor,4.86,office_building,4.71
82,디저트카페_동양염전베이커리카페_1081.jpg,booth/indoor,73.13,science_museum,13.39,museum/indoor,2.82,natural_history_museum,2.62,home_theater,1.77
83,디저트카페_동양염전베이커리카페_1082.jpg,patio,44.11,roof_garden,15.45,greenhouse/indoor,12.74,balcony/interior,9.73,waiting_room,5.62
84,디저트카페_마롱브런치&베이커리카페_495.jpg,loading_dock,7.3,harbor,6.89,pier,5.69,boat_deck,5.02,artists_loft,4.84
85,디저트카페_마롱브런치&베이커리카페_496.jpg,hospital,19.78,library/outdoor,17.26,parking_garage/outdoor,12.79,office_building,11.05,industrial_area,8.91
86,디저트카페_바다와풍경_490.jpg,hospital,33.65,park,10.54,golf_course,7.71,orchard,3.36,field/cultivated,3.25
87,디저트카페_바다와풍경_491.jpg,ice_shelf,32.52,beach,15.08,ocean,12.99,coast,7.69,ice_floe,7.6
88,디저트카페_보스커피&브런치_12.jpg,delicatessen,72.23,market/outdoor,5.85,restaurant,4.04,pizzeria,3.85,bakery/shop,3.39
89,디저트카페_브런치카페 이엘_1507.jpg,bar,24.14,sushi_bar,19.86,restaurant,7.0,beer_garden,4.66,restaurant_patio,4.25
90,디저트카페_브룩스_1543.jpg,bathroom,53.8,shower,24.62,sauna,5.8,kitchen,3.5,galley,3.28
91,디저트카페_빠르끄 풍동본점_575.jpg,delicatessen,94.53,restaurant,1.05,fastfood_restaurant,0.96,bakery/shop,0.86,ice_cream_parlor,0.84
92,디저트카페_빠르끄 풍동본점_576.jpg,bakery/shop,51.05,delicatessen,18.59,ice_cream_parlor,11.86,pizzeria,9.2,coffee_shop,3.42
93,디저트카페_빠르끄 풍동본점_577.jpg,delicatessen,53.54,bakery/shop,26.8,fastfood_restaurant,5.82,butchers_shop,4.73,restaurant,3.69
94,디저트카페_스타골목커피_1397.jpg,discotheque,19.51,arena/performance,15.03,stage/indoor,7.55,racecourse,6.3,stage/outdoor,3.9
95,디저트카페_스타골목커피_1398.jpg,art_studio,22.16,art_gallery,14.17,amusement_park,7.68,art_school,7.32,water_park,5.46
96,디저트카페_스타골목커피_1399.jpg,valley,30.63,mountain_path,10.18,cliff,8.76,mountain,7.77,aquarium,5.77
97,디저트카페_어로프슬라이스피스_551.jpg,butchers_shop,58.23,supermarket,17.83,market/outdoor,7.68,candy_store,3.43,bakery/shop,3.43
98,디저트카페_어로프슬라이스피스_552.jpg,art_studio,7.14,sushi_bar,6.87,bowling_alley,5.05,attic,4.33,diner/outdoor,3.77
99,디저트카페_어로프슬라이스피스_553.jpg,recreation_room,12.35,coffee_shop,12.24,office,6.18,bank_vault,4.85,home_office,4.42
100,디저트카페_에테르_1476.jpg,balcony/interior,54.22,beach_house,17.52,bow_window/indoor,16.13,balcony/exterior,4.07,ocean,1.84
101,디저트카페_우즈베이커리_1559.jpg,airport_terminal,22.93,server_room,17.42,baseball_field,6.71,ticket_booth,6.47,stadium/baseball,4.9
102,디저트카페_우즈베이커리카페 수성호수점_1930.jpg,bakery/shop,91.5,delicatessen,4.26,butchers_shop,2.36,supermarket,0.54,department_store,0.45
103,디저트카페_우즈베이커리카페 수성호수점_1931.jpg,atrium/public,27.13,dining_hall,9.45,office_cubicles,8.02,restaurant,5.83,cafeteria,5.25
104,디저트카페_이진상회_545.jpg,bazaar/outdoor,15.89,plaza,8.26,motel,7.82,inn/outdoor,7.27,ski_resort,7.15
105,디저트카페_이진상회_546.jpg,greenhouse/outdoor,94.3,doorway/outdoor,0.68,synagogue/outdoor,0.68,greenhouse/indoor,0.58,shopfront,0.37
106,디저트카페_이진상회_547.jpg,pavilion,56.16,hunting_lodge/outdoor,20.85,kennel/outdoor,4.41,picnic_area,4.14,diner/outdoor,1.44
107,디저트카페_인스퍼레이션디 동촌유원지점_1950.jpg,industrial_area,31.78,parking_garage/outdoor,25.59,loading_dock,7.29,parking_lot,5.81,office_building,3.12
108,디저트카페_인스퍼레이션디 동촌유원지점_1951.jpg,restaurant_patio,40.73,patio,8.38,restaurant,5.99,pavilion,5.97,atrium/public,5.53
109,디저트카페_초이스엠_1944.jpg,library/outdoor,11.88,hospital,11.74,office_building,8.32,building_facade,6.28,museum/outdoor,5.8
110,디저트카페_초이스엠_1945.jpg,bakery/shop,90.49,delicatessen,3.61,supermarket,1.63,department_store,1.42,butchers_shop,0.62
111,디저트카페_초이스엠_1946.jpg,industrial_area,46.71,office_building,9.95,library/outdoor,6.94,hospital,5.47,parking_garage/outdoor,5.35
112,디저트카페_카페 레드브리끄_478.jpg,shopfront,18.69,hotel/outdoor,14.35,diner/outdoor,9.7,fastfood_restaurant,8.77,general_store/outdoor,8.16
113,디저트카페_토지베이커리브런치카페_499.jpg,candy_store,71.36,ice_cream_parlor,14.56,playroom,2.41,bakery/shop,2.34,pantry,1.48
114,디저트카페_토지베이커리브런치카페_500.jpg,server_room,92.27,airport_terminal,1.04,cockpit,1.02,booth/indoor,0.73,science_museum,0.73
115,디저트카페_포레스트아웃팅스 송도점_1062.jpg,shopping_mall/indoor,86.42,atrium/public,9.11,arcade,2.81,lobby,0.45,department_store,0.35
116,디저트카페_포레스트아웃팅스 송도점_1063.jpg,industrial_area,18.95,motel,11.72,beach_house,6.74,railroad_track,6.47,hotel/outdoor,4.6
117,디저트카페_프릳츠 도화점_52.jpg,courtyard,11.68,parking_garage/outdoor,10.63,roof_garden,9.25,campus,8.55,hotel/outdoor,5.03
118,디저트카페_프릳츠 도화점_53.jpg,locker_room,12.63,museum/indoor,11.35,coffee_shop,6.77,railroad_track,6.47,drugstore,4.94
119,디저트카페_프릳츠 도화점_54.jpg,coffee_shop,91.3,ice_cream_parlor,4.23,restaurant,1.0,bar,0.72,food_court,0.43
120,떡볶이_골목떡볶이_367.jpg,hardware_store,16.59,toyshop,9.06,assembly_line,5.15,auto_factory,5.02,repair_shop,4.53
121,"릉,묘,총_김포장릉_790.jpg",forest_path,57.5,rainforest,8.16,mountain_path,7.57,forest_road,5.36,botanical_garden,4.49
122,"릉,묘,총_동구릉_770.jpg",cemetery,63.3,mausoleum,18.79,barndoor,3.44,kennel/outdoor,2.4,bank_vault,1.76
123,"릉,묘,총_동구릉_771.jpg",archaelogical_excavation,24.2,village,14.35,mausoleum,6.11,construction_site,4.7,park,4.7
124,"릉,묘,총_동구릉_772.jpg",temple/asia,15.42,pagoda,11.81,mausoleum,11.81,park,8.29,topiary_garden,5.8
125,"릉,묘,총_서오릉_773.jpg",driveway,13.65,mausoleum,10.04,amphitheater,7.15,pavilion,4.21,field/wild,3.62
126,"릉,묘,총_서오릉_774.jpg",ticket_booth,50.68,elevator/door,22.84,bank_vault,7.35,elevator_lobby,6.83,doorway/outdoor,2.88
127,"릉,묘,총_서오릉_775.jpg",forest_path,20.31,forest_road,19.28,bamboo_forest,14.24,park,11.2,boardwalk,6.48
128,"릉,묘,총_서울선릉과정릉_259.jpg",childs_room,41.19,nursery,10.13,clean_room,9.8,kindergarden_classroom,6.11,drugstore,4.7
129,"릉,묘,총_서울선릉과정릉_260.jpg",cemetery,55.31,archive,12.5,mausoleum,6.7,art_gallery,4.41,museum/indoor,3.92
130,"릉,묘,총_서울선릉과정릉_261.jpg",topiary_garden,8.76,stadium/soccer,6.3,ski_slope,5.16,canal/natural,4.02,formal_garden,3.41
131,"릉,묘,총_연산동고분군_1710.jpg",village,64.9,downtown,5.86,skyscraper,4.99,industrial_area,2.95,valley,2.12
132,"릉,묘,총_연산동고분군_1711.jpg",museum/indoor,44.89,archaelogical_excavation,19.03,science_museum,7.63,natural_history_museum,7.51,bakery/shop,4.34
133,"릉,묘,총_연산동고분군_1712.jpg",vineyard,22.6,village,19.33,tree_farm,13.92,tree_house,3.91,valley,3.64
134,"릉,묘,총_영녕릉 세종대왕유적지구 세종대왕릉_786.jpg",archive,27.88,server_room,27.23,locker_room,13.03,clean_room,5.78,elevator/door,3.67
135,"릉,묘,총_화성융릉과건릉_776.jpg",topiary_garden,93.61,formal_garden,3.84,vineyard,0.94,vegetable_garden,0.29,tree_farm,0.17
136,"릉,묘,총_화성융릉과건릉_777.jpg",science_museum,69.61,natural_history_museum,26.97,museum/indoor,3.23,art_gallery,0.07,booth/indoor,0.06
137,"릉,묘,총_화성융릉과건릉_778.jpg",science_museum,22.78,utility_room,16.9,elevator/door,11.51,natural_history_museum,8.48,archive,8.15
138,문_광화문_247.jpg,downtown,24.6,street,12.94,bus_station/indoor,8.24,parking_lot,6.02,industrial_area,5.4
139,문_광화문_248.jpg,downtown,45.73,plaza,24.72,street,5.75,market/outdoor,4.27,bazaar/outdoor,3.8
140,문_광화문_249.jpg,downtown,42.08,skyscraper,40.4,office_building,6.6,plaza,1.79,tower,1.78
141,문_금정산성 남문_1696.jpg,mausoleum,63.66,temple/asia,20.43,pagoda,5.09,pavilion,4.14,gazebo/exterior,1.77
142,문_독립문_270.jpg,aqueduct,26.65,kasbah,21.75,arch,9.97,ruin,8.37,mausoleum,7.26
143,문_독립문_271.jpg,legislative_chamber,44.23,lecture_room,14.87,conference_center,11.16,auditorium,9.67,classroom,4.1
144,문_독립문_272.jpg,candy_store,29.74,ticket_booth,10.3,drugstore,6.03,motel,5.3,fire_escape,5.23
145,문_수원화성 장안문_782.jpg,mountain_path,15.03,rope_bridge,10.14,mountain,7.34,village,6.13,castle,6.12
146,문_수원화성 장안문_783.jpg,pagoda,45.54,mausoleum,14.05,temple/asia,12.61,palace,7.01,castle,4.25
147,문_수원화성 장안문_784.jpg,highway,42.28,ski_slope,13.78,desert/sand,7.62,ice_shelf,7.47,construction_site,3.52
148,문_수원화성 팔달문_794.jpg,slum,46.78,pagoda,13.31,temple/asia,8.82,village,3.93,mausoleum,2.71
149,문_수원화성 팔달문_795.jpg,temple/asia,62.08,pagoda,22.27,palace,8.85,mausoleum,1.2,building_facade,1.11
150,문_수원화성 팔달문_796.jpg,highway,13.12,temple/asia,9.86,carrousel,7.47,pagoda,5.03,amusement_park,4.21
151,문_숭례문_253.jpg,temple/asia,33.98,pagoda,17.52,throne_room,15.64,mausoleum,5.28,palace,2.99
152,문_숭례문_254.jpg,downtown,29.67,plaza,10.59,pagoda,7.97,skyscraper,6.39,construction_site,5.38
153,문_숭례문_255.jpg,plaza,19.73,downtown,13.86,campus,11.44,office_building,9.56,parking_garage/outdoor,7.68
154,문_홍예문_1262.jpg,catacomb,64.73,arch,6.6,grotto,5.45,burial_chamber,4.16,medina,1.67
155,문_홍예문_1264.jpg,arch,31.3,aqueduct,21.48,viaduct,17.43,bridge,8.61,forest_road,2.52
156,문_흥인지문_257.jpg,plaza,53.92,downtown,25.59,crosswalk,4.24,street,3.39,parking_lot,2.78
157,문_흥인지문_258.jpg,fire_escape,20.97,pagoda,13.46,phone_booth,7.83,tower,3.97,ticket_booth,3.72
158,문화유적_고려궁지_1230.jpg,temple/asia,44.86,pagoda,25.45,mausoleum,6.35,pavilion,4.83,amphitheater,4.55
159,문화유적_고려궁지_1231.jpg,porch,15.34,ticket_booth,8.47,stable,8.24,courtyard,6.17,phone_booth,6.1
160,문화유적_고려궁지_1232.jpg,temple/asia,39.97,ticket_booth,17.84,diner/outdoor,8.8,pagoda,5.85,shopfront,3.67
161,문화유적_서울암사동유적_273.jpg,bakery/shop,15.72,storage_room,15.16,general_store/indoor,11.08,gift_shop,7.72,delicatessen,6.77
162,문화유적_서울암사동유적_274.jpg,conference_center,56.33,television_studio,14.16,auditorium,8.45,music_studio,5.61,stage/indoor,3.96
163,문화유적_서울암사동유적_275.jpg,forest_path,31.24,park,10.19,botanical_garden,6.76,rainforest,5.92,bamboo_forest,5.75
164,문화유적_석파정_263.jpg,library/outdoor,25.35,zen_garden,12.54,pavilion,6.24,courtyard,4.38,parking_garage/outdoor,4.28
165,문화유적_연미정_1226.jpg,farm,17.59,vineyard,13.86,pasture,8.9,golf_course,6.42,field/cultivated,5.62
166,문화유적_외양포진지_1701.jpg,kennel/outdoor,13.92,stable,10.58,natural_history_museum,9.56,corral,9.54,patio,3.5
167,문화유적_외양포진지_1702.jpg,ticket_booth,95.52,gas_station,4.11,general_store/outdoor,0.08,diner/outdoor,0.03,motel,0.03
168,문화유적_외양포진지_1703.jpg,natural_history_museum,62.64,museum/indoor,18.42,science_museum,11.49,art_gallery,1.51,burial_chamber,0.97
169,문화유적_원인재_1247.jpg,temple/asia,60.57,pagoda,12.34,palace,9.56,pavilion,7.12,building_facade,2.28
170,문화유적_원인재_1248.jpg,delicatessen,81.11,restaurant,7.03,market/outdoor,3.03,cafeteria,1.84,pizzeria,1.3
171,문화유적_원인재_1249.jpg,temple/asia,54.97,pagoda,13.86,pavilion,5.52,hunting_lodge/outdoor,5.08,chalet,3.37
172,문화유적_장수동 은행나무_1236.jpg,park,84.2,tree_farm,2.77,promenade,1.69,parking_lot,1.4,botanical_garden,1.17
173,문화유적_장수동 은행나무_1238.jpg,park,18.37,picnic_area,10.35,pavilion,7.68,corral,6.3,pasture,6.26
174,문화유적_정약용유적지_791.jpg,hospital,43.65,highway,8.3,industrial_area,5.49,boardwalk,4.75,promenade,2.82
175,문화유적_정약용유적지_792.jpg,classroom,31.18,lecture_room,21.37,art_school,10.7,kindergarden_classroom,5.67,dining_hall,4.07
176,문화유적_정약용유적지_793.jpg,golf_course,29.32,campus,11.93,athletic_field/outdoor,9.15,park,8.67,lawn,8.34
177,문화유적_충렬사_1680.jpg,temple/asia,49.63,mausoleum,22.2,pagoda,14.2,japanese_garden,2.57,zen_garden,1.83
178,문화유적_충렬사_1681.jpg,doorway/outdoor,69.02,porch,4.44,balcony/exterior,4.25,building_facade,3.13,gas_station,2.1
179,문화유적_충렬사_1682.jpg,temple/asia,56.14,pagoda,15.85,japanese_garden,4.81,pavilion,4.11,gazebo/exterior,2.79
180,문화유적_해월정_1700.jpg,shoe_shop,94.85,repair_shop,0.93,natural_history_museum,0.85,science_museum,0.54,basement,0.17
181,미술관_가나아트파크_696.jpg,science_museum,11.39,museum/indoor,10.94,engine_room,10.11,playroom,9.25,booth/indoor,7.54
182,미술관_가나아트파크_697.jpg,art_studio,34.69,art_gallery,22.87,art_school,10.61,ice_floe,3.45,fabric_store,2.51
183,미술관_가나아트파크_698.jpg,ticket_booth,37.42,general_store/outdoor,21.65,diner/outdoor,3.93,manufactured_home,3.62,schoolhouse,3.57
184,미술관_간송미술관_190.jpg,archaelogical_excavation,67.96,cemetery,20.07,zen_garden,4.11,burial_chamber,3.98,ruin,0.74
185,미술관_간송미술관_191.jpg,japanese_garden,57.93,pagoda,27.45,zen_garden,4.3,formal_garden,3.22,botanical_garden,1.31
186,미술관_간송미술관_192.jpg,cemetery,32.45,japanese_garden,22.68,park,18.88,botanical_garden,6.06,mausoleum,3.29
187,미술관_경기도미술관_683.jpg,jewelry_shop,31.26,beauty_salon,21.4,clean_room,10.57,drugstore,5.06,gift_shop,4.56
188,미술관_경기도미술관_684.jpg,drugstore,24.08,pharmacy,13.95,hardware_store,2.7,bar,2.12,bamboo_forest,2.07
189,미술관_경기도미술관_685.jpg,arena/performance,34.0,aquarium,22.13,natural_history_museum,19.54,science_museum,11.64,orchestra_pit,1.97
190,미술관_경원미술관_1158.jpg,pizzeria,80.9,delicatessen,15.71,restaurant,1.06,bakery/shop,0.68,butchers_shop,0.35
191,미술관_경원미술관_1159.jpg,general_store/outdoor,47.35,diner/outdoor,18.31,ticket_booth,12.31,temple/asia,4.07,gas_station,3.19
192,미술관_경원미술관_1160.jpg,airport_terminal,40.67,department_store,9.23,elevator_lobby,5.94,bus_station/indoor,5.18,fastfood_restaurant,4.46
193,미술관_고은사진미술관_1608.jpg,booth/indoor,25.16,museum/indoor,15.31,television_studio,15.05,science_museum,12.84,art_gallery,10.12
194,미술관_고은사진미술관_1609.jpg,clothing_store,18.14,booth/indoor,6.14,construction_site,5.73,hospital,1.92,jail_cell,1.76
195,미술관_고은사진미술관_1610.jpg,home_theater,29.31,lobby,6.69,art_gallery,6.0,living_room,4.55,television_room,3.3
196,미술관_구하우스미술관_689.jpg,veterinarians_office,51.86,pet_shop,11.66,natural_history_museum,9.13,nursing_home,4.94,art_gallery,4.92
